"Name";"Artikelnummer";"QR-/Barcode";"Kategorie";"Unterkategorie";"Einheit";"Durchmesser";"Laenge";"Bestand";"Mindestbestand";"Lagerort";"Lieferant";"Notiz";"Listenpreis";"Einkaufspreis";"Rabatt"
"Nagelstreifen Glatt Blank PVC 20° EN14592:2009";"NK20-3190";"NK20-3190";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,1";"90";"0";"0";"";"Holzbau-Shop";"";"41,34";"14,47";"65,0"
"Nagelstreifen Glatt Blank PVC 20° EN14592:2009";"NK20-38100";"NK20-38100";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,8";"100";"0";"0";"";"Holzbau-Shop";"";"53,00";"18,55";"65,0"
"Nagelstreifen Glatt Blank PVC 20° EN14592:2009";"NK20-38110";"NK20-38110";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,8";"110";"0";"0";"";"Holzbau-Shop";"";"62,54";"21,89";"65,0"
"Nagelstreifen Glatt Blank PVC 20° EN14592:2009";"NK20-38120";"NK20-38120";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,8";"120";"0";"0";"";"Holzbau-Shop";"";"66,78";"23,37";"65,0"
"Nagelstreifen Glatt Blank PVC 20° EN14592:2009";"NK20-38130";"NK20-38130";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,8";"130";"0";"0";"";"Holzbau-Shop";"";"71,02";"24,86";"65,0"
"Nagelstreifen Glatt Blank PVC 20° EN14592:2009";"NK20-42145";"NK20-42145";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"4,2";"145";"0";"0";"";"Holzbau-Shop";"";"90,10";"31,54";"65,0"
"Nagelstreifen Glatt Blank PVC 20° EN14592:2009";"NK20-46160";"NK20-46160";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"4,6";"160";"0";"0";"";"Holzbau-Shop";"";"148,40";"51,94";"65,0"
"Nagelstreifen Glatt Galv. Verzinkt PVC 20°";"NK20-HGA-38130";"NK20-HGA-38130";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,8";"130";"0";"0";"";"Holzbau-Shop";"";"127,20";"44,52";"65,0"
"Nagelstreifen Glatt Galv. Verzinkt PVC 20°";"NK20-HGA-42145";"NK20-HGA-42145";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"4,2";"145";"0";"0";"";"Holzbau-Shop";"";"148,40";"51,94";"65,0"
"Nagelstreifen Glatt Galv. Verzinkt PVC 20°";"NK20-HGA-46160";"NK20-HGA-46160";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"4,6";"160";"0";"0";"";"Holzbau-Shop";"";"222,60";"77,91";"65,0"
